,prediction
0,24.911091454841458
1,31.647
2,21.65254458828656
3,9.656689304577247
4,20.923230734767024
5,20.75354331185798
6,24.862271657537026
7,20.32345240276707
8,20.225204301516364
9,19.49281150573437
10,7.8584025974025975
11,15.310073909830006
12,14.302502334267041
13,8.693807630695574
14,49.85
15,33.44686874236874
16,20.749771657537025
17,35.827715007215
18,24.80331605801606
19,21.39975676215038
20,24.032330343730344
21,21.580765909659686
22,20.01086471326943
23,24.389023465423463
24,20.554810286515657
25,16.075000000000003
26,19.589724776162512
27,16.048172342621257
28,43.81892857142857
29,18.213642070863436
30,13.520372142477404
31,17.161516921233904
32,20.41955744663833
33,20.934140733846103
34,22.790028362682097
35,17.782378300485796
36,8.826174153062095
37,32.19866666666667
38,14.417605104125903
39,15.103803921568623
40,21.622605313856734
41,20.5951674293728
42,23.18503821463329
43,15.028135111534493
44,25.78086670702165
45,22.583630489067247
46,19.131736111111113
47,17.12818885448916
48,14.2024944714728
49,25.545400445558336
50,16.793701754385967
51,20.46902429275804
52,21.526726318925476
53,39.762499999999996
54,14.372553295002211
55,19.570376805985553
56,20.32141579538587
57,20.630962570231187
58,19.757
59,20.083120448179276
60,22.373848629364762
61,21.085833544303622
62,31.417613349613344
63,27.76384939134939
64,17.47114390536089
65,26.01289939134939
66,16.40613273379527
67,17.83575598309499
68,18.36340724316334
69,20.744906897222027
70,19.924152303394475
71,22.003975809137096
72,24.261530343730346
73,31.372385531135528
74,29.668531660692945
75,9.187902868790811
76,45.138714285714286
77,21.16780165022316
78,22.790028362682097
79,20.89156322916731
80,26.833630798538696
81,18.418147538735774
82,18.974071428571428
83,46.22071428571429
84,42.25833333333334
85,23.866080343730342
86,23.39503425236462
87,13.885467849223948
88,28.57662698412698
89,16.380002506265665
90,18.340011446886443
91,12.281688311688312
92,22.337184461449134
93,28.700531746031743
94,21.555386306441214
95,20.86480954562422
96,12.5875
97,24.705280343730344
98,14.578073762838471
99,19.63833270010132
100,22.55659506514158
101,19.839942727453828
102,27.233643228231465
103,21.09071509548371
104,26.540767857142857
105,20.354143068113142
106,9.049814845702787
107,18.793373411534702
108,21.1494429102148
109,22.41010107730254
110,32.60562037037037
111,14.41765560917641
112,18.01925598309499
113,19.309714768948517
114,16.92372966730552
115,20.79573937908497
116,10.094524485656333
117,20.669548462220853
118,9.776221772109714
119,43.855714285714285
120,29.21769179679969
121,10.908280892727658
122,18.765545634920635
123,21.361063229167307
124,20.698534295052237
125,18.67679411764706
126,35.61913095238095
