wrong_pair,counts
套衫-->外套,161
汗衫-->T恤,156
汗衫-->外套,133
汗衫-->套衫,122
外套-->套衫,73
T恤-->汗衫,73
裙子-->T恤,43
裙子-->外套,40
运动鞋-->靴子,40
套衫-->汗衫,39
外套-->汗衫,36
靴子-->运动鞋,32
凉鞋-->运动鞋,29
T恤-->套衫,27
外套-->裙子,25
运动鞋-->凉鞋,24
凉鞋-->靴子,22
裙子-->套衫,21
裙子-->汗衫,20
汗衫-->裙子,19
T恤-->裙子,19
汗衫-->包包,18
裙子-->裤子,18
套衫-->T恤,16
裤子-->裙子,16
T恤-->包包,11
套衫-->裙子,8
包包-->外套,8
包包-->套衫,7
T恤-->外套,6
裙子-->包包,4
包包-->裙子,4
汗衫-->裤子,4
包包-->运动鞋,4
裤子-->外套,4
包包-->T恤,3
T恤-->裤子,3
包包-->凉鞋,3
包包-->汗衫,3
外套-->包包,2
凉鞋-->包包,2
靴子-->凉鞋,2
裤子-->包包,2
裤子-->T恤,2
裤子-->汗衫,2
包包-->裤子,1
靴子-->汗衫,1
凉鞋-->裙子,1
外套-->裤子,1
套衫-->裤子,1
