湛江	zhanjiang
梅州	meizhou
丽水	lishui
金坛	jintan
濮阳	puyang
巴彦淖尔	bayannaoer
平度	pingdu
茂名	maoming
咸宁	xianning
辽源	liaoyuan
乐山	leshan
常熟	changshu
长春	changchun
漳州	zhangzhou
东莞	dongguang
六盘水	liupanshui
博州	xjbozhou
马鞍山	maanshan
巴中	bazhong
眉山	meishan
巢湖	chaohu
淮安	huaian
清远	gdqingyuan
徐州	xuzhou
白山	baishan
盐城	yancheng
南昌	nanchang
郑州	zhengzhou
驻马店	zhumadian
洛阳	lvyang
乳山	rushan
阿坝	aba
宁德	ningde
中山	zhongshan
上海	shanghai
武汉	wuhan
吴江	wujiang
日照	rizhao
江门	jiangmen
福州	fujianfuzhou
绍兴	shaoxing
克州	kezhou
大理	dali
呼伦贝尔	hulunbeier
哈尔滨	haerbin
平凉	pingliang
安阳	anyang
乌鲁木齐	wulumuqi
朝阳	chaoyang
寿光	shouguang
常德	changde
玉溪	yuxi
辽阳	liaoyang
南充	nanchong
铜陵	tongling
保山	baoshan
芜湖	wuhu
红河	honghe
鸡西	jixi
萍乡	pingxiang
四平	siping
沧州	cangzhou
亳州	bozhou
贵阳	guiyang
楚雄	chuxiong
昌吉	changji
铁岭	tieling
张掖	zhangye
宁波	ningbo
来宾	laibin
阿勒泰	aletai
新乡	xinxiang
榆林	yulin
宜宾	yibin
天津	tianjin
松原	songyuan
黄南	huangnan
无锡	wuxi
永州	yongzhou
内江	neijiang
呼和浩特	huhehaote
抚顺	fushun
嘉峪关	jiayuguan
防城港	fangchenggang
溧阳	liyang
章丘	zhangqiu
喀什	kashi
延安	yanan
拉萨	lasa
东营	dongying
白银	baiyin
大连	dalian
鹰潭	yingtan
嘉兴	jiaxing
景德镇	jingdezhen
遵义	zunyi
迪庆	diqing
鞍山	anshan
广安	guangan
义乌	yiwu
济宁	sdjining
运城	sxyuncheng
连云港	lianyungang
承德	chengde
武威	wuwei
周口	zhoukou
邢台	xingtai
中卫	zhongwei
滨州	binzhou
汉中	hanzhong
重庆	chongqing
西宁	xining
湘潭	xiangtan
铜川	tongchuan
锡林郭勒	xilinguole
阿拉善盟	alashanmeng
宿迁	suqian
昌都	changdu
滁州	chuzhou
金华	jinhua
廊坊	langfang
石嘴山	shizuishan
和田	hetian
葫芦岛	huludao
汕头	shantou
黔西南	qianxinan
绥化	suihua
酒泉	jiuquan
包头	baotou
邯郸	handan
南宁	nanning
文登	wendeng
晋中	jinzhong
兴安盟	xinganmeng
吉安	jian
商丘	shangqiu
九江	jiujiang
菏泽	heze
果洛	guolv
富阳	zjfuyang
娄底	loudi
西双版纳	xishuangbanna
北京	beijing
石家庄	shijiazhuang
韶关	shaoguan
牡丹江	mudanjiang
日喀则	rikaze
泸州	luzhou
襄阳	xiangyang
蚌埠	bangbu
惠州	huizhou
大同	datong
贵港	guigang
湖州	huzhou
自贡	zigong
镇江	zhenjiang
本溪	benxi
毕节	bijie
河源	heyuan
淮南	huainan
齐齐哈尔	qiqihaer
池州	chizhou
枣庄	zaozhuang
胶南	jiaonan
昭通	zhaotong
贺州	hezhou
盘锦	panjin
吉林	jilin
阿克苏	akesu
南阳	nanyang
莱西	laixi
宝鸡	baoji
固原	nxguyuan
即墨	jimo
文山	wenshan
龙岩	longyan
抚州	fuzhou
台州	taizhou
二连浩特	erlianhaote
开封	kaifeng
玉树	yushu
鹤壁	hebi
青岛	qingdao
广元	guangyuan
桂林	guilin
六安	liuan
柳州	liuzhou
上饶	shangrao
扬州	yangzhou
苏州	suzhou
随州	suizhou
临夏	linxia
林芝	linzhi
阳江	yangjiang
通辽	tongliao
潍坊	weifang
益阳	yiyang
伊春	yichun
北海	beihai
甘南	gannan
宿州	anhuisuzhou
平顶山	pingdingshan
海南	hainan
通化	tonghua
荆州	jingzhou
甘孜	ganzi
莱芜	laiwu
淮北	huaibei
黑河	heihe
秦皇岛	qinhuangdao
张家界	zhangjiajie
五家渠	wujiaqu
阜新	fuxin
安康	ankang
达州	dazhou
株洲	zhuzhou
句容	jurong
绵阳	mianyang
郴州	chenzhou
莱州	laizhou
安顺	anshun
长治	changzhi
宜兴	yixing
乌海	wuhai
三明	sanming
济南	jinan
南通	nantong
玉林	guangxiyulin
遂宁	scsuining
三亚	sanya
渭南	weinan
孝感	xiaogan
普洱	puer
衡水	hengshui
那曲	naqu
湘西	xiangxi
瓦房店	wafangdian
温州	wenzhou
淄博	zibo
唐山	tangshan
赣州	ganzhou
海西	haixi
蓬莱	penglai
沈阳	shenyang
张家口	zhangjiakou
安庆	anqing
库尔勒	kuerle
宣城	xuancheng
金昌	jinchang
合肥	hefei
胶州	jiaozhou
延边	yanbian
雅安	yaan
衢州	quzhou
鄂尔多斯	eerduosi
鹤岗	hegang
邵阳	shaoyang
梧州	wuzhou
恩施	enshi
丽江	lijiang
怀化	huaihua
晋城	jincheng
太仓	taicang
长沙	changsha
汕尾	shanwei
天水	tianshui
荆门	jingmen
临安	linan
黄石	huangshi
营口	yingkou
铜仁	tongren
张家港	zhangjiagang
大庆	daqing
泰州	jstaizhou
海门	haimen
岳阳	yueyang
莆田	putian
海口	haikou
新余	xinyu
肇庆	zhaoqing
昆明	kunming
西安	xian
阳泉	yangquan
攀枝花	panzhihua
潮州	chaozhou
吕梁	lvliang
资阳	ziyang
钦州	gxqinzhou
南京	nanjing
衡阳	hengyang
宜春	jxyichun
鄂州	ezhou
临沧	lincang
曲靖	qujing
吐鲁番	tulufan
庆阳	gsqingyang
南平	nanping
招远	sdzhaoyuan
海北	haibei
黔东南	qiandongnan
临沂	linyi
珠海	zhuhai
陇南	longnan
深圳	shenzhen
崇左	chongzuo
朔州	shuozhou
厦门	xiamen
三门峡	sanmenxia
塔城	tacheng
焦作	jiaozuo
舟山	zhoushan
常州	changzhou
泉州	quanzhou
海东	haidong
昆山	kunshan
银川	yinchuan
石河子	shihezi
咸阳	xianyang
保定	baoding
吴忠	wuzhong
德阳	deyang
黔南	qiannan
思茅	simao
云浮	yunfu
揭阳	jieyang
阜阳	fuyang
荣成	sdrongcheng
十堰	shiyan
河池	hechi
烟台	yantai
成都	chengdu
赤峰	chifeng
杭州	hangzhou
七台河	qitaihe
黄山	huangshan
广州	guangzhou
凉山	liangshan
德宏	dehong
锦州	jinzhou
江阴	jiangyin
宜昌	yichang
信阳	xinyang
双鸭山	shuangyashan
威海	weihai
丹东	dandong
定西	dingxi
泰安	taian
许昌	xuchang
兰州	lanzhou
怒江	nujiang
太原	taiyuan
哈密	hami
克拉玛依	kelamayi
忻州	xinzhou
大兴安岭	daxinganling
临汾	linfen
佳木斯	jiamusi
阿里	ali
漯河	luohe
德州	dezhou
黄冈	huanggang
甘南	hljgannan
商洛	shanglv
佛山	foshan
白城	baicheng
山南	shannan
聊城	liaocheng
